County,Population,Area (sq km),Population density (person/km^2),High school percentage,Persons per household,Persons in poverty percentage,Median income,Never,Rarely,Sometimes,Frequently,Always,1_months_before_order deaths/cases percentage,1_months_after_order deaths/cases percentage,change in deaths/cases percentage,status of the change
Alameda County,1671329,1914.05441,873.1878212,88.4,2.81,8.9,99406,0.019,0.008,0.055,0.123,0.795,1.541335824,1.040462428,-0.500873397,decrease
Alpine County,1129,1912.267317,0.590398628,91.2,3.71,17.2,63750,0.025,0.085,0.088,0.19,0.612,0,0,0,no change
Amador County,39752,1539.956254,25.81372029,90,2.42,9.8,62772,0.045,0.013,0.099,0.188,0.655,0,0,0,no change
Butte County,219186,4238.415035,51.71414271,89.2,2.55,16.1,52537,0.015,0.043,0.111,0.204,0.626,1.470588235,0.694444444,-0.776143791,decrease
Calaveras County,45905,2641.8157,17.37630676,90.2,2.57,12.1,63158,0.045,0.019,0.098,0.276,0.562,0,0,0,no change
Colusa County,21547,2980.379193,7.229616973,71.3,2.99,12,59401,0.027,0.031,0.092,0.151,0.7,0,0,0,no change
Contra Costa County,1153526,1854.277441,622.0892163,89.5,2.86,7.9,99716,0.018,0.016,0.039,0.121,0.806,1.837837838,1.390988812,-0.446849026,decrease
Del Norte County,27812,2606.488236,10.67029562,80.1,2.48,17.9,45283,0.01,0.135,0.112,0.196,0.547,0,0,0,no change
El Dorado County,192843,4423.392121,43.5961802,93.4,2.67,8.7,83377,0.028,0.042,0.072,0.183,0.675,0,0,0,no change
Fresno County,999101,15431.13452,64.74579032,76,3.16,20.5,53969,0.021,0.022,0.059,0.156,0.741,2.634660422,0.585146287,-2.049514135,decrease
Glenn County,28393,3403.117361,8.343232686,74.8,2.75,12.1,49633,0.028,0.026,0.146,0.206,0.594,0,0.568181818,0.568181818,increase
Humboldt County,135558,9241.05842,14.66909891,90.5,2.43,19.1,48041,0.042,0.006,0.018,0.069,0.865,12.90322581,0,-12.90322581,decrease
Imperial County,181215,10817.35223,16.75225103,69.7,3.87,22,47622,0.001,0.005,0.03,0.128,0.836,1.056338028,2.602704772,1.546366743,increase
Inyo County,18039,26368.37739,0.684114905,88.6,2.16,11.7,57316,0.033,0.011,0.008,0.058,0.889,0,0,0,no change
Kern County,900202,21061.59148,42.74140446,74.1,3.18,19,53350,0.022,0.028,0.105,0.177,0.668,1.602403605,1.289975813,-0.312427792,decrease
Kings County,152940,3598.583906,42.50005113,73.4,3.16,16,57848,0.075,0.016,0.049,0.094,0.766,0.519143413,2.516233766,1.997090353,increase
Lake County,64386,3254.218835,19.78539344,85.8,2.43,18.3,47040,0.003,0.004,0.007,0.136,0.849,0,0.943396226,0.943396226,increase
Lassen County,30573,11761.61079,2.599388855,83.2,2.23,16.5,56352,0.064,0.068,0.162,0.225,0.482,0,0,0,no change
Los Angeles County,10039107,10509.86862,955.2076589,79.1,3,13.4,68044,0.021,0.013,0.049,0.131,0.786,2.983552212,1.363325585,-1.620226628,decrease
