County,Population,Area (sq km),Population density (person/km^2),High school percentage,Persons per household,Persons in poverty percentage,Median income,Never,Rarely,Sometimes,Frequently,Always,1_months_before_order deaths/cases percentage,1_months_after_order deaths/cases percentage,change in deaths/cases percentage,status of the change
Baker County,16124,7946.08932,2.029174271,91,2.22,13.6,45998,0.051,0.189,0.179,0.189,0.392,0,0,0,no change
Benton County,93053,1750.83324,53.1478372,95.9,2.4,16.5,62077,0.007,0.007,0.059,0.156,0.77,0,1.612903226,1.612903226,increase
Clackamas County,418187,4838.10132,86.43618071,93.4,2.59,7.2,80484,0.016,0.024,0.071,0.168,0.721,5.118110236,1.396160558,-3.721949678,decrease
Clatsop County,40224,2141.92173,18.7793977,92.1,2.37,12,54886,0.052,0.027,0.051,0.073,0.797,0,0,0,no change
Columbia County,52354,1701.62343,30.76708928,91.3,2.61,8.6,62257,0.048,0.015,0.158,0.174,0.604,0,0,0,no change
Coos County,64487,4143.984,15.56159483,88.8,2.34,15.6,45051,0.128,0.061,0.136,0.099,0.577,0,0,0,no change
Crook County,24404,4612.77219,5.290527907,90,2.38,10.9,49006,0.019,0.075,0.027,0.246,0.633,0,7.692307692,7.692307692,increase
Curry County,22925,7718.1702,2.9702636,90.3,2.13,13.4,48440,0.025,0.058,0.1,0.162,0.655,0,0,0,no change
Deschutes County,197692,7816.58982,25.29133606,93.7,2.47,9.2,67043,0.01,0.061,0.014,0.25,0.666,0,0.5,0.5,increase
Douglas County,110980,13045.77963,8.506965712,89.6,2.37,11.8,47267,0.082,0.052,0.116,0.239,0.511,0,1.886792453,1.886792453,increase
Gilliam County,1912,3118.34796,0.613145173,90,2.22,10.9,47500,0.008,0.003,0.049,0.332,0.607,0,0,0,no change
Grant County,7199,8145.51855,0.883798859,88.8,2.12,15.3,44712,0.014,0.062,0.132,0.12,0.671,0,0,0,no change
Harney County,7393,11730.06471,0.630260803,91.6,2.23,14.2,40735,0.032,0.099,0.114,0.157,0.598,0,0,0,no change
Hood River County,23382,4213.91373,5.548760961,81.3,2.59,8.4,65679,0.03,0.071,0.127,0.162,0.61,0,0,0,no change
Jackson County,220944,7213.12215,30.63084132,90.1,2.41,13.6,53412,0.044,0.077,0.075,0.138,0.665,0,0,0,no change
Jefferson County,24658,1351.97478,18.2385059,87,2.81,15,53277,0.018,0.062,0.012,0.25,0.657,0,0,0,no change
Josephine County,87487,4247.5836,20.59688713,90.4,2.34,15.9,45616,0.028,0.056,0.072,0.192,0.652,0,0,0,no change
Klamath County,68238,15397.49055,4.431761122,88.1,2.38,16.7,46491,0.097,0.031,0.062,0.227,0.583,0,1.219512195,1.219512195,increase
Lake County,7869,20564.5206,0.382649329,86.5,2.07,17,37898,0.05,0.017,0.127,0.247,0.558,0,0,0,no change
Lane County,382067,11794.81446,32.39279442,91.9,2.39,13.9,52426,0.031,0.036,0.077,0.137,0.719,4,0,-4,decrease
Lincoln County,49962,2538.1902,19.68410405,91.5,2.24,14.6,47882,0.001,0.012,0.047,0.131,0.81,0,5.797101449,5.797101449,increase
Linn County,129749,5933.66709,21.86657897,89.5,2.58,12.6,55893,0.057,0.025,0.096,0.159,0.664,5.882352941,1.428571429,-4.453781513,decrease
Malheur County,30571,25609.82112,1.193721731,81.1,2.63,21,43313,0.071,0.206,0.213,0.206,0.305,4.761904762,0.917431193,-3.844473569,decrease
Marion County,347818,3069.13815,113.3275803,85.2,2.78,12.2,59625,0.029,0.013,0.053,0.196,0.71,2.244389027,2.944640754,0.700251726,increase
Morrow County,11603,5265.44967,2.203610466,75.8,2.82,12.7,54269,0.026,0.004,0.083,0.197,0.69,0,0.609756098,0.609756098,increase
Multnomah County,812855,1126.64565,721.4823933,91.5,2.42,12,69176,0.013,0.016,0.054,0.178,0.738,1.943198804,0.352112676,-1.591086128,decrease
Polk County,86085,8326.81785,10.33828307,90.9,2.68,9.4,62691,0.013,0.022,0.078,0.242,0.645,8.108108108,0,-8.108108108,decrease
Sherman County,1780,2131.56177,0.835068458,89.3,2.16,12.5,51071,0.008,0.014,0.046,0.271,0.66,0,0,0,no change
Tillamook County,27036,5275.80963,5.124521523,89.6,2.34,12,49895,0.125,0.04,0.092,0.163,0.581,0,0,0,no change
Umatilla County,77950,1919.18259,40.61625007,82.4,2.69,13.9,54699,0.043,0.01,0.081,0.155,0.71,1.851851852,0.473484848,-1.378367003,decrease
Union County,26835,6166.76619,4.351551392,92.7,2.41,13.6,52171,0.034,0.088,0.086,0.189,0.603,0,1.470588235,1.470588235,increase
Wallowa County,7208,26249.54865,0.274595198,93.1,2.15,12.3,51224,0.041,0.083,0.146,0.229,0.501,0,7.692307692,7.692307692,increase
Wasco County,26682,2854.16898,9.348430379,86.4,2.41,12.2,53105,0.019,0.034,0.069,0.197,0.681,0,2.298850575,2.298850575,increase
Washington County,601592,1875.15276,320.8229286,92.2,2.66,8.2,82215,0.006,0.009,0.059,0.169,0.756,1.483679525,0.085034014,-1.398645512,decrease
Wheeler County,1332,4441.83285,0.29987621,91.6,2.13,17.7,40926,0.023,0.07,0.049,0.232,0.626,0,0,0,no change
Yamhill County,107100,1854.43284,57.753507,88.9,2.72,10.6,63902,0.021,0.035,0.072,0.143,0.729,2.631578947,0.757575758,-1.87400319,decrease
