County,Population,Area (sq km),Population density (person/km^2),High school percentage,Persons per household,Persons in poverty percentage,Median income,Never,Rarely,Sometimes,Frequently,Always,1_months_before_order deaths/cases percentage,1_months_after_order deaths/cases percentage,change in deaths/cases percentage,status of the change
Adams County,19983,4985.73075,4.00803834,66.9,3.26,16.8,48294,0.077,0.051,0.072,0.076,0.724,0,0.431034483,0.431034483,increase
Asotin County,22582,1647.23364,13.70904494,91.4,2.41,13.8,53715,0.014,0.029,0.115,0.32,0.522,0,0,0,no change
Benton County,204390,4402.983,46.42080153,90.2,2.71,10.6,69023,0.084,0.011,0.064,0.08,0.761,1.877934272,1.837769328,-0.040164944,decrease
Chelan County,77200,7562.7708,10.20789894,82.6,2.66,12.2,58795,0.062,0.048,0.029,0.297,0.564,0,0.33557047,0.33557047,increase
Clallam County,77331,4501.40262,17.17931199,92.5,2.24,11.2,52192,0.001,0,0.028,0.225,0.746,0,0,0,no change
Clark County,488241,1629.10371,299.6991518,92.7,2.69,9.2,75253,0.02,0.021,0.048,0.17,0.741,2.602230483,0.627943485,-1.974286998,decrease
Columbia County,3985,2250.70131,1.77055924,91.2,2.23,12.3,53423,0.08,0.031,0.079,0.223,0.586,0,0,0,no change
Cowlitz County,110593,2949.99861,37.48917021,89.3,2.51,12.6,54506,0.041,0.02,0.098,0.216,0.625,0,1.293103448,1.293103448,increase
Douglas County,43429,4711.19181,9.218261907,82.1,2.72,10.9,62951,0.067,0.047,0.042,0.271,0.573,0,0.731707317,0.731707317,increase
Ferry County,7627,5708.33796,1.336115705,87,2.38,18,41939,0.082,0.066,0.082,0.204,0.565,0,0,0,no change
Franklin County,95222,3216.76758,29.60176563,75,3.36,13.5,63584,0.106,0.013,0.059,0.069,0.753,1.371308017,0.77871512,-0.592592897,decrease
Garfield County,2225,1838.8929,1.209967149,94.4,2.21,12.9,55900,0.031,0.029,0.085,0.292,0.563,0,0,0,no change
Grant County,97733,6941.1732,14.0801846,76.7,3.06,13.9,55556,0.032,0.052,0.108,0.146,0.661,0.806451613,0.638977636,-0.167473977,decrease
Grays Harbor County,75061,4926.16098,15.23722028,89.7,2.44,13.1,51240,0.03,0.009,0.087,0.213,0.662,0,1.818181818,1.818181818,increase
Jefferson County,32221,4672.34196,6.8961134,95.1,2.11,12.6,55127,0.011,0,0.064,0.171,0.754,0,0,0,no change
King County,2252782,5477.82885,411.2545429,93.1,2.46,7.7,94974,0.016,0.02,0.05,0.191,0.724,3.205495135,0.812660393,-2.392834741,decrease
Kitsap County,271473,1023.04605,265.3575565,94.8,2.51,7.5,75411,0.024,0.003,0.051,0.136,0.786,0,0,0,no change
Kittitas County,47935,5949.20703,8.057376346,91.4,2.35,14,56004,0.032,0.084,0.033,0.179,0.672,0,3.96039604,3.96039604,increase
Klickitat County,22425,4848.46128,4.625178733,88,2.48,13.5,55773,0.038,0.029,0.113,0.288,0.532,0,0,0,no change
Lewis County,80707,6223.74597,12.96759225,87.5,2.51,12.2,53484,0.033,0.112,0.128,0.111,0.616,0,0,0,no change
Lincoln County,10939,5985.46689,1.827593436,92.7,2.3,9.1,54631,0.017,0.086,0.023,0.108,0.765,0,0,0,no change
Mason County,66768,2483.80041,26.88138698,88.6,2.61,12.8,57634,0.011,0.024,0.091,0.152,0.721,0,0,0,no change
Okanogan County,42243,13644.06732,3.096070916,83.9,2.31,16.4,47240,0.042,0.066,0.075,0.199,0.617,5.263157895,0,-5.263157895,decrease
Pacific County,22471,2416.46067,9.299137486,88.3,2.31,13.5,46733,0.082,0.016,0.128,0.063,0.712,0,0,0,no change
Pend Oreille County,13724,3625.986,3.784901541,91.1,2.26,16.1,50591,0.027,0.122,0.052,0.212,0.587,0,0,0,no change
Pierce County,904980,4325.2833,209.2302255,91.5,2.65,9.4,72113,0.028,0.057,0.103,0.206,0.606,4.07523511,1.023017903,-3.052217207,decrease
San Juan County,17582,450.65826,39.01404137,95.9,2.03,8.1,63622,0.015,0.004,0.021,0.229,0.73,0,0,0,no change
Skagit County,129205,4483.27269,28.81934893,90.2,2.55,11.2,67028,0.035,0.097,0.037,0.177,0.653,0,1.229508197,1.229508197,increase
Skamania County,12083,4289.02344,2.817191412,91.6,2.47,10.4,65181,0.019,0.048,0.092,0.08,0.76,0,2.380952381,2.380952381,increase
Snohomish County,822083,5405.30913,152.0880638,92.3,2.68,7,86691,0.017,0.014,0.056,0.191,0.721,6.209850107,1.336302895,-4.873547212,decrease
Spokane County,522798,4568.74236,114.4293022,93.8,2.43,12.9,56904,0.033,0.057,0.08,0.151,0.679,1.158940397,0.387034349,-0.771906048,decrease
Stevens County,45723,6417.99522,7.124187294,90.6,2.52,14.9,51775,0.05,0.039,0.069,0.257,0.585,0,0,0,no change
Wahkiakum County,4488,683.75736,6.563731906,92.1,2.24,10.8,53227,0.045,0.057,0.079,0.161,0.658,0,0,0,no change
Walla Walla County,60760,3289.2873,18.47208664,88.3,2.47,12.7,57858,0.083,0.022,0.061,0.193,0.641,0,0,0,no change
Whitman County,50104,5591.78841,8.960281814,95.5,2.33,26.3,42745,0.002,0.009,0.049,0.31,0.629,0,0,0,no change
Yakima County,250873,11126.59704,22.54714529,73.7,2.98,16.7,51637,0.012,0.035,0.069,0.143,0.74,1.589476569,1.525423729,-0.06405284,decrease
